PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1984,9.5,-76.25,22.04,24.84,13.22,18.37,122.29,151.23,112.91,131.0,116.61,192.81,115.68,11.43,1032.43
PRECTOTCORR_SUM,1984,9.5,-76.875,21.74,19.95,9.57,10.32,127.06,170.4,124.52,137.84,124.49,194.05,125.28,5.74,1070.96
PRECTOTCORR_SUM,1985,10.0,-71.25,2.01,12.2,37.59,52.6,167.02,68.46,99.38,167.14,152.47,148.69,101.93,69.25,1078.74
PRECTOTCORR_SUM,1985,10.0,-71.875,0.71,4.34,18.44,102.47,158.77,67.81,125.53,99.99,141.19,171.06,47.85,87.96,1026.12
PRECTOTCORR_SUM,1985,10.0,-72.5,0.68,3.37,14.9,110.68,160.4,70.91,128.69,89.83,136.58,177.29,42.01,91.38,1026.72
PRECTOTCORR_SUM,1985,10.0,-73.125,0.58,2.22,6.54,100.47,140.09,72.24,128.92,63.07,122.85,198.78,46.56,90.68,973.0
PRECTOTCORR_SUM,1985,10.0,-73.75,0.43,1.01,1.89,51.07,99.18,60.52,98.45,39.76,107.72,159.35,45.05,67.66,732.09
PRECTOTCORR_SUM,1985,10.0,-74.375,0.26,0.46,1.54,25.4,82.26,52.92,77.62,36.51,102.93,130.13,45.25,51.44,606.72
PRECTOTCORR_SUM,1985,10.0,-75.0,0.23,0.4,1.28,10.54,68.16,49.47,56.39,42.65,106.11,107.42,57.6,31.28,531.53
PRECTOTCORR_SUM,1985,10.0,-75.625,2.89,0.23,0.72,8.75,64.7,175.73,59.72,71.75,151.67,112.59,78.72,22.25,749.72
PRECTOTCORR_SUM,1985,10.0,-76.25,5.22,0.03,0.62,9.25,66.98,252.2,60.08,79.41,171.39,122.0,83.57,27.36,878.11
PRECTOTCORR_SUM,1985,10.0,-76.875,5.92,0.32,0.96,9.56,69.41,253.67,65.04,82.39,166.62,127.49,88.9,33.68,903.96
PRECTOTCORR_SUM,1985,10.5,-71.25,0.93,7.1,20.33,47.2,121.14,45.36,75.11,120.58,130.89,91.48,64.51,52.34,776.97
PRECTOTCORR_SUM,1985,10.5,-71.875,0.17,1.94,10.32,116.94,135.31,53.48,119.44,94.54,133.87,159.67,37.16,81.53,944.37
PRECTOTCORR_SUM,1985,10.5,-72.5,0.13,1.19,7.76,133.94,144.32,57.93,128.73,89.06,135.69,184.59,36.08,91.51,1010.93
PRECTOTCORR_SUM,1985,10.5,-73.125,0.08,0.73,3.23,121.37,134.02,63.17,139.83,64.41,135.85,223.65,45.61,95.2,1027.15
PRECTOTCORR_SUM,1985,10.5,-73.75,0.05,0.32,0.68,60.55,97.84,51.79,110.64,39.92,135.85,183.79,43.51,73.52,798.46
PRECTOTCORR_SUM,1985,10.5,-74.375,0.03,0.09,0.29,25.67,77.55,42.34,77.62,31.66,137.13,145.39,41.79,54.9,634.46
PRECTOTCORR_SUM,1985,10.5,-75.0,0.27,0.01,0.12,10.54,62.01,51.17,43.64,35.1,135.65,115.68,50.36,32.32,536.87
PRECTOTCORR_SUM,1985,10.5,-75.625,1.77,0.0,0.04,10.45,54.53,172.05,48.36,70.9,159.35,103.04,70.98,18.35,709.82
PRECTOTCORR_SUM,1985,10.5,-76.25,3.11,0.0,0.1,13.0,54.42,244.65,54.21,87.24,173.7,107.12,75.22,19.11,831.88
PRECTOTCORR_SUM,1985,10.5,-76.875,3.61,0.42,0.33,13.03,53.47,235.26,54.77,88.99,159.51,109.2,72.13,24.03,814.75
PRECTOTCORR_SUM,1985,11.0,-71.25,1.11,3.64,14.77,47.34,81.91,34.05,71.16,95.59,107.17,64.1,48.31,43.08,612.23
PRECTOTCORR_SUM,1985,11.0,-71.875,0.2,0.91,8.72,115.87,106.59,45.8,110.64,92.46,121.06,140.9,35.23,73.47,851.85
PRECTOTCORR_SUM,1985,11.0,-72.5,0.08,0.44,6.68,136.24,116.94,49.6,119.7,88.68,126.56,175.99,39.09,85.99,945.99
PRECTOTCORR_SUM,1985,11.0,-73.125,0.24,0.25,2.89,111.25,113.17,54.85,135.13,68.06,136.12,209.37,44.7,88.35,964.38
PRECTOTCORR_SUM,1985,11.0,-73.75,0.36,0.15,0.87,50.67,88.12,50.37,127.2,57.01,147.12,180.42,42.54,68.06,812.89
PRECTOTCORR_SUM,1985,11.0,-74.375,0.42,0.11,0.59,18.16,71.38,43.41,92.42,50.28,151.95,149.11,38.74,48.15,664.72
PRECTOTCORR_SUM,1985,11.0,-75.0,1.0,0.04,0.26,10.3,59.16,83.52,63.79,56.55,155.49,123.58,45.39,28.14,627.22
PRECTOTCORR_SUM,1985,11.0,-75.625,1.97,0.0,0.0,11.52,48.0,183.09,48.56,72.78,160.64,94.49,55.34,15.12,691.51
PRECTOTCORR_SUM,1985,11.0,-76.25,2.4,0.0,0.0,13.27,47.56,240.09,54.65,86.97,164.97,96.1,57.54,14.94,778.49
PRECTOTCORR_SUM,1985,11.0,-76.875,2.91,0.43,0.21,12.94,48.98,237.33,57.41,90.63,155.11,103.19,54.38,20.0,783.52
PRECTOTCORR_SUM,1985,11.5,-71.25,2.06,2.47,11.48,48.84,63.6,29.51,77.38,89.49,101.69,83.29,53.05,46.3,609.16
PRECTOTCORR_SUM,1985,11.5,-71.875,0.76,1.08,8.35,98.08,89.32,45.2,105.14,92.89,116.58,125.34,33.89,66.32,782.95
PRECTOTCORR_SUM,1985,11.5,-72.5,0.62,1.14,9.65,103.86,87.12,41.79,103.67,96.87,108.65,104.06,29.36,63.53,750.32
PRECTOTCORR_SUM,1985,11.5,-73.125,2.18,0.69,4.02,54.61,70.43,56.93,106.05,84.88,132.46,147.13,34.39,53.41,747.18
PRECTOTCORR_SUM,1985,11.5,-73.75,2.21,0.56,2.26,14.9,54.14,59.25,113.31,84.48,132.82,134.76,34.01,36.15,668.85
